Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
227,226,39180,56184,30.3
228,227,113136,120000,5.7
229,228,78186,91188,14.3
230,229,104106,109260,4.7
231,230,85422,98370,13.2
232,231,97362,102750,5.2
233,232,88146,98334,10.4
234,233,105084,112680,6.7
235,234,104814,118788,11.8
236,235,86244,97788,11.8
237,236,109650,120000,8.6
238,237,94764,99786,5.0
239,238,100764,104880,3.9
240,239,78030,87192,10.5
241,240,106716,120000,11.1
242,241,107238,114720,6.5
243,242,74730,87156,14.3
244,243,39054,50832,23.2
245,244,98220,104088,5.6
246,245,95454,102060,6.5
247,246,77934,88212,11.7
248,247,91074,102036,10.7
249,248,88638,97788,9.4
250,249,92130,98502,6.5
251,250,101544,108564,6.5
252,251,81882,89496,8.5
253,252,93342,100224,6.9
254,253,98706,109890,10.2
255,254,85926,91248,5.8
256,255,88212,99084,11.0
257,256,105096,113094,7.1
258,257,56646,73104,22.5
259,258,103464,114600,9.7
260,259,95178,99150,4.0
261,260,95400,105036,9.2
262,261,98904,111702,11.5
263,262,89208,98484,9.4
264,263,86238,95748,9.9
265,264,92598,113196,18.2
266,265,95370,99798,4.4
267,266,91512,96912,5.6
268,267,100938,107802,6.4
269,268,96510,101178,4.6
270,269,43908,53928,18.6
271,270,68298,77784,12.2
272,271,104760,120000,12.7
273,272,87990,94920,7.3
274,273,84456,92520,8.7
275,274,83310,95772,13.0
276,275,77856,87996,11.5
277,276,101292,104304,2.9
278,277,102576,112584,8.9
279,278,63108,75336,16.2
280,279,93444,101034,7.5
281,280,90504,96936,6.6
282,281,104316,120000,13.1
283,282,88860,105042,15.4
284,283,82656,87780,5.8
285,284,91212,118392,23.0
286,285,70080,77544,9.6
287,286,110610,110610,0.0
288,287,111282,116508,4.5
289,288,110304,113790,3.1
290,289,63360,81978,22.7
291,290,96666,103032,6.2
292,291,83802,96984,13.6
293,292,102324,105132,2.7
294,293,88128,98268,10.3
295,294,97098,101688,4.5
296,295,82836,95400,13.2
297,296,72408,87564,17.3
