comboID,mean,std,count,ttest_p_value,wilcoxon_p_value,mean_diff_from_best,missing_sim_ratio,tag
81,9.525,1.1870832602082577,4,,,,0.0,Insufficient Data
455,9.525,9.188171744150194,4,,,,0.0,Insufficient Data
355,9.525,4.058222106620912,4,,,,0.0,Insufficient Data
31,9.575,8.631869245225316,4,,,,0.0,Insufficient Data
606,9.600000000000001,7.492663077971677,4,,,,0.0,Insufficient Data
595,9.625,6.042281577903058,4,,,,0.0,Insufficient Data
116,9.625,3.855191305240247,4,,,,0.0,Insufficient Data
456,9.625,6.366252168008008,4,,,,0.0,Insufficient Data
319,9.625,2.069420208657488,4,,,,0.0,Insufficient Data
607,9.65,7.034439091593112,4,,,,0.0,Insufficient Data
551,9.65,4.665118790913404,4,,,,0.0,Insufficient Data
204,9.65,6.971130946027816,4,,,,0.0,Insufficient Data
652,9.7,1.7568911937472587,4,,,,0.0,Insufficient Data
291,9.725,5.688218819044616,4,,,,0.0,Insufficient Data
206,9.725,2.410221289978716,4,,,,0.0,Insufficient Data
139,9.75,2.341651838624464,4,,,,0.0,Insufficient Data
495,9.75,3.5047586697707636,4,,,,0.0,Insufficient Data
309,9.75,8.771734910115178,4,,,,0.0,Insufficient Data
446,9.775,2.647483081469393,4,,,,0.0,Insufficient Data
434,9.8,3.412721299295719,4,,,,0.0,Insufficient Data
225,9.875,6.000763840267894,4,,,,0.0,Insufficient Data
550,9.875,1.9465781943365816,4,,,,0.0,Insufficient Data
674,9.875,8.979003285443213,4,,,,0.0,Insufficient Data
651,9.925,4.847250079512438,4,,,,0.0,Insufficient Data
582,9.925,8.90968574081039,4,,,,0.0,Insufficient Data
657,9.95,3.2715949219506584,4,,,,0.0,Insufficient Data
93,10.0,1.7663521732655703,4,,,,0.0,Insufficient Data
504,10.0,3.688721549082645,4,,,,0.0,Insufficient Data
374,10.0,9.729337079164234,4,,,,0.0,Insufficient Data
515,10.0,4.406812907306141,4,,,,0.0,Insufficient Data
124,10.025,5.899929378108408,4,,,,0.0,Insufficient Data
378,10.025,1.4453949863849207,4,,,,0.0,Insufficient Data
132,10.025,11.273383106533133,4,,,,0.0,Insufficient Data
656,10.05,1.4200938936093863,4,,,,0.0,Insufficient Data
110,10.05,2.6551836094703507,4,,,,0.0,Insufficient Data
